fusion_id	tissue	gene1_tpm	gene2_tpm	log2_ratio	hotspot_status	hotspot_reason
ENSG00000255201::RALYL_i_i_30EFE4	Adipose_Subcutaneous	12.07	0.02	6.708	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Adipose_Visceral_Omentum	12.23	0	6.946	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Adrenal_Gland	1.17	10.24	-3.027	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Artery_Aorta	12.45	0.01	6.775	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Artery_Coronary	12.39	0.02	6.683	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Artery_Tibial	9.31	0.02	6.262	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Bladder	8.74	0	6.466	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Amygdala	1.06	10.98	-3.253	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Anterior_cingulate_cortex_BA24	1.18	22.37	-4.138	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Caudate_basal_ganglia	1.18	13.27	-3.388	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Cerebellar_Hemisphere	24.15	61.56	-1.346	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Cerebellum	29.76	39.43	-0.405	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Cortex	1.54	16.7	-3.361	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Frontal_Cortex_BA9	1.17	30.29	-4.578	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Hippocampus	1	9.64	-3.142	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Hypothalamus	0.94	24.48	-4.569	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Nucleus_accumbens_basal_ganglia	0.99	20.36	-4.234	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Putamen_basal_ganglia	0.65	9.14	-3.617	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Spinal_cord_cervical_c-1	1.18	3.05	-1.3	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Brain_Substantia_nigra	0.88	9.22	-3.255	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Breast_Mammary_Tissue	16.53	0.02	7.124	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Cells_Cultured_fibroblasts	8.31	0	6.394	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Cells_EBV-transformed_lymphocytes	0.76	0	3.098	Hotspot	Large expression difference (log2 ratio > 1)
ENSG00000255201::RALYL_i_i_30EFE4	Cervix_Ectocervix	11.96	0	6.913	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Cervix_Endocervix	10.54	0.01	6.599	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Colon_Sigmoid	12.03	0.45	4.462	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Colon_Transverse	5.78	0.17	4.429	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Colon_Transverse_Mixed_Cell	1.95	0.07	3.625	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Colon_Transverse_Mucosa	0.69	0	2.979	Hotspot	Large expression difference (log2 ratio > 1)
ENSG00000255201::RALYL_i_i_30EFE4	Colon_Transverse_Muscularis	9.12	0.32	4.455	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Esophagus_Gastroesophageal_Junction	10.38	0.07	5.917	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Esophagus_Mucosa	3.32	0	5.095	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Esophagus_Muscularis	9.82	0.04	6.127	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Fallopian_Tube	16.47	0.78	4.228	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Heart_Atrial_Appendage	6.07	1.1	2.358	Hotspot	Large expression difference (log2 ratio > 1)
ENSG00000255201::RALYL_i_i_30EFE4	Heart_Left_Ventricle	2.09	0.37	2.238	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Kidney_Cortex	2.96	1.77	0.714	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Kidney_Medulla	4.88	2.58	0.892	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Liver	0.49	0.05	1.961	Hotspot	Large expression difference (log2 ratio > 1)
ENSG00000255201::RALYL_i_i_30EFE4	Liver_Hepatocyte	0.17	0.02	1.217	Hotspot	Large expression difference (log2 ratio > 1)
ENSG00000255201::RALYL_i_i_30EFE4	Liver_Mixed_Cell	0.26	0.05	1.231	Hotspot	Large expression difference (log2 ratio > 1)
ENSG00000255201::RALYL_i_i_30EFE4	Liver_Portal_Tract	3.21	4.11	-0.346	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Lung	10.8	0	6.768	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Minor_Salivary_Gland	6.18	0.42	3.599	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Muscle_Skeletal	1.42	0.02	3.621	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Nerve_Tibial	17.51	0.25	5.644	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Ovary	19.03	0.03	7.248	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Pancreas	11.01	0.3	4.8	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Pancreas_Acini	11.41	0.29	4.894	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Pancreas_Islets	9.2	8.93	0.043	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Pancreas_Mixed_Cell	8.56	0.38	4.159	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Pituitary	13.79	6.44	1.087	Hotspot	Large expression difference (log2 ratio > 1)
ENSG00000255201::RALYL_i_i_30EFE4	Prostate	14.11	0.07	6.404	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Skin_Not_Sun_Exposed_Suprapubic	5.1	0	5.701	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Skin_Sun_Exposed_Lower_leg	4.63	0.02	5.314	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Small_Intestine_Terminal_Ileum	5.68	0.24	4.092	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Small_Intestine_Terminal_Ileum_Lymphoid_Aggregate	5.49	0.14	4.515	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Small_Intestine_Terminal_Ileum_Mixed_Cell	4.15	0.2	3.83	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Spleen	2.02	1.81	0.155	Not hotspot	NA
ENSG00000255201::RALYL_i_i_30EFE4	Stomach	2.33	0.03	4.25	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Stomach_Mixed_Cell	2.37	0.01	4.456	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Stomach_Mucosa	0.3	0	2.014	Hotspot	Large expression difference (log2 ratio > 1)
ENSG00000255201::RALYL_i_i_30EFE4	Stomach_Muscularis	7.56	0.13	5.047	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Testis	4.61	0.32	3.488	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Thyroid	8.16	0.02	6.148	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Uterus	12.82	0.04	6.491	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Vagina	12.71	0.03	6.675	Hotspot	Upstream expressed; downstream silent; large ratio
ENSG00000255201::RALYL_i_i_30EFE4	Whole_Blood	0.52	0	2.641	Hotspot	Large expression difference (log2 ratio > 1)
FGFR1::RALYL_i_i_30EFE4	Adipose_Subcutaneous	91.12	0.02	9.615	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Adipose_Visceral_Omentum	84.18	0	9.719	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Adrenal_Gland	8.11	10.24	-0.332	Not hotspot	NA
FGFR1::RALYL_i_i_30EFE4	Artery_Aorta	131.33	0.01	10.164	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Artery_Coronary	105.58	0.02	9.764	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Artery_Tibial	119.98	0.02	9.937	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Bladder	80.97	0	9.663	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Brain_Amygdala	12.6	10.98	0.197	Not hotspot	NA
FGFR1::RALYL_i_i_30EFE4	Brain_Anterior_cingulate_cortex_BA24	14.27	22.37	-0.645	Not hotspot	NA
FGFR1::RALYL_i_i_30EFE4	Brain_Caudate_basal_ganglia	11.56	13.27	-0.197	Not hotspot	NA
FGFR1::RALYL_i_i_30EFE4	Brain_Cerebellar_Hemisphere	106.8	61.56	0.794	Not hotspot	NA
FGFR1::RALYL_i_i_30EFE4	Brain_Cerebellum	108.9	39.43	1.463	Hotspot	Large expression difference (log2 ratio > 1)
FGFR1::RALYL_i_i_30EFE4	Brain_Cortex	14.79	16.7	-0.175	Not hotspot	NA
FGFR1::RALYL_i_i_30EFE4	Brain_Frontal_Cortex_BA9	14.31	30.29	-1.077	Not hotspot	NA
FGFR1::RALYL_i_i_30EFE4	Brain_Hippocampus	11.92	9.64	0.304	Not hotspot	NA
FGFR1::RALYL_i_i_30EFE4	Brain_Hypothalamus	18.8	24.48	-0.379	Not hotspot	NA
FGFR1::RALYL_i_i_30EFE4	Brain_Nucleus_accumbens_basal_ganglia	11.61	20.36	-0.804	Not hotspot	NA
FGFR1::RALYL_i_i_30EFE4	Brain_Putamen_basal_ganglia	9.27	9.14	0.02	Not hotspot	NA
FGFR1::RALYL_i_i_30EFE4	Brain_Spinal_cord_cervical_c-1	23.84	3.05	2.925	Hotspot	Large expression difference (log2 ratio > 1)
FGFR1::RALYL_i_i_30EFE4	Brain_Substantia_nigra	14.07	9.22	0.605	Not hotspot	NA
FGFR1::RALYL_i_i_30EFE4	Breast_Mammary_Tissue	85.5	0.02	9.488	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Cells_Cultured_fibroblasts	80.47	0	9.654	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Cells_EBV-transformed_lymphocytes	4.86	0	5.632	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Cervix_Ectocervix	83.92	0	9.715	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Cervix_Endocervix	89.25	0.01	9.669	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Colon_Sigmoid	98.59	0.45	7.487	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Colon_Transverse	43.09	0.17	7.306	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Colon_Transverse_Mixed_Cell	18.75	0.07	6.825	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Colon_Transverse_Mucosa	4.04	0	5.371	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Colon_Transverse_Muscularis	83.8	0.32	7.641	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Esophagus_Gastroesophageal_Junction	97.49	0.07	9.136	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Esophagus_Mucosa	15.34	0	7.271	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Esophagus_Muscularis	95.22	0.04	9.392	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Fallopian_Tube	131.15	0.78	7.214	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Heart_Atrial_Appendage	43.76	1.1	5.188	Hotspot	Large expression difference (log2 ratio > 1)
FGFR1::RALYL_i_i_30EFE4	Heart_Left_Ventricle	24.34	0.37	5.715	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Kidney_Cortex	16.17	1.77	3.122	Hotspot	Large expression difference (log2 ratio > 1)
FGFR1::RALYL_i_i_30EFE4	Kidney_Medulla	28.76	2.58	3.427	Hotspot	Large expression difference (log2 ratio > 1)
FGFR1::RALYL_i_i_30EFE4	Liver	2.44	0.05	4.069	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Liver_Hepatocyte	0.97	0.02	3.209	Hotspot	Large expression difference (log2 ratio > 1)
FGFR1::RALYL_i_i_30EFE4	Liver_Mixed_Cell	1.51	0.05	3.401	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Liver_Portal_Tract	26.81	4.11	2.677	Hotspot	Large expression difference (log2 ratio > 1)
FGFR1::RALYL_i_i_30EFE4	Lung	54.82	0	9.101	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Minor_Salivary_Gland	25.9	0.42	5.649	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Muscle_Skeletal	9.68	0.02	6.303	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Nerve_Tibial	101.45	0.25	8.172	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Ovary	127.79	0.03	9.989	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Pancreas	37.64	0.3	6.565	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Pancreas_Acini	35.09	0.29	6.506	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Pancreas_Islets	45.02	8.93	2.321	Hotspot	Large expression difference (log2 ratio > 1)
FGFR1::RALYL_i_i_30EFE4	Pancreas_Mixed_Cell	32.37	0.38	6.066	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Pituitary	62.94	6.44	3.269	Hotspot	Large expression difference (log2 ratio > 1)
FGFR1::RALYL_i_i_30EFE4	Prostate	60.61	0.07	8.499	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Skin_Not_Sun_Exposed_Suprapubic	25.46	0	7.998	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Skin_Sun_Exposed_Lower_leg	30.26	0.02	7.997	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Small_Intestine_Terminal_Ileum	28.55	0.24	6.403	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Small_Intestine_Terminal_Ileum_Lymphoid_Aggregate	23.93	0.14	6.619	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Small_Intestine_Terminal_Ileum_Mixed_Cell	19.95	0.2	6.068	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Spleen	9.76	1.81	2.371	Hotspot	Large expression difference (log2 ratio > 1)
FGFR1::RALYL_i_i_30EFE4	Stomach	13.77	0.03	6.763	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Stomach_Mixed_Cell	19.15	0.01	7.417	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Stomach_Mucosa	2.91	0	4.911	Hotspot	Upstream expressed; downstream silent; large ratio
FGFR1::RALYL_i_i_30EFE4	Stomach_Muscularis	71.2	0.13	8.265	Hotspot	Upstream expressed; downstream silent; large ratio
